Comentarios,Clas
"Se siente mucha bulla en las noches en las habitaciones por la llegada de huéspedes, se prende la luz de pasillo y las maletas hacen mucho ruido y no dejan dormir bien.
Otro aspecto que tienen que mejorar es que el espejo que se encuentra en el baño no sirve para las mujeres, es muy difícil uno verse en él porque son oscuros.",Negativos
"Ya lo expuse 
Además solicite un jabón adicional y que no había que pasa con. La administración deben mejorar la relación beneficio costo
El desayuno lo desmejoraron",Negativos
"Muy descuidado en los muebles...muy viejos y el colchón muy duro, las almohadas muy pequeñas...en la pared del televisor falta el televisor y las conexiones del cableado se ven y se siente q el lugar está muy descuidado. Necesitan renovar. En el lugar del desayuno dejan abierta la.puerta de la terraza y el desayuno se enfría rápido y se siente el frío, porque entra mucho viento.",Negativos
"La reservación de Booking no estaba coordinada con el hotel, no tenía la reservación hecha a la hora de llegar y casi no me contesta alguien a cargo de las habitaciones.
Finallllmente apareció alguien y pudimos cuadrar el tema pero eso tomo poco más de una hora para esto.
El día siguiente de cortesía por los temas me ofrecieron el desayuno y un late check out para mejorar la experiencia.",Negativos
"parece desatendido las puertas no cierran muy bien y la luz de fuera entra y en la habitación los controles de luz externos dejaban pasar todo el resplandor por las lámparas de techo, la gente de las otras habitaciones si hacen mucho ruido no hay con quien buscar ayuda",Negativos
"Since we got there on December 6th afternoon, the lady at the front was so rude. I was traveling with kids and the hotel was pretty empty. She said she was gonna give us 2 rooms for 3 people each and my reservation said 4 people in 1 room and 2 people in the other one, Mr. Gustavo was trying to help us with a better accommodation since he saw I was traveling with kids but she kept saying no. 
The rooms she gave us were super loud and in bad condition, we couldn’t sleep the first night at all, we could hear everything from the outside and It’s a very busy street. 
I went downstairs to ask them to give us different rooms if possible and the lady at night said of course. 
I didn’t understand why the other lady during the day was so rude when it really wasn’t a big deal to help us with a better accommodation. Anyways, we waited until the next day to change rooms and we finally got what I booked.
The next day in the morning we go to the 8th floor to have breakfast, the restaurant was empty, the glasses were not clean, the couple of people that was cooking were not wearing gloves and the chef (I assume) he was sick and I saw him touching his nose and coughing while he was cooking for us. He never washed his hands at all. The kids were super hungry and we decided to eat anyways. 
This made the kids to have a hard time later, they both were throwing up while we were going to a tour we had planned during the morning. Me and the other 2 adults were feeling nauseous during the whole morning and we all had to go to a pharmacy to get some medicine for our stomach. 
This was the worst experience I’ve ever had I would never come back. This place needs to work is many things and the kitchen It shouldn’t be open. It needs more sanitation and cleaning.",Negativos
"Querían que les redactara un escrito donde dijera que no me había comido un paquete de detodito, cosa que no hice y les pague el paquete así no me lo hubiera comido, pero me pareció una falta de respeto",Negativos
"1 No recibí desayuno a tiempo en los días que estuve hospeda
2 No hicieron limpieza a la habitación 
3 No recibí indicaciones específicas necesarias a la hora del alojamiento
4 demasiado costoso para tan mal servicio",Negativos
"Ls cortinas están muy sucias, solo había una toall en la habitación.",Negativos
"la habitación me decepciono, pedí una suite amplia esperando encontrar algo similar a lo que ofrecen los hoteles de Bogotá en esa categoría. lo único bueno es la cama pero el amoblamiento es terrible, las lámparas no funcionaban, el espacio en metros existe pero en total desolación. sentimos mucho frío, ni tiene calefacción, tuvieron que llevarnos un calentador portátil",Negativos
"La almohada horrible, la atención del personal muy mala, el costo del hotel extremadamente caro, pague $1 millón por dos noches y tras de todo nos niegan un desayuno y me dice que si lo quiero tener debo pagar 60 mil pesos, que descaro, a ese hotel no vuelvo nunca!",Negativos
"La bata de baño de la habitación estaba sucia, se solicitó la plancha de ropa la cuál tenía una pegatina y al entrar en calor con la prenda la mancho y el hotel no se hizo responsable. 
La administración quitó el agua durante todo el día, diciendo que tenían un problema con la bomba de agua y no se pudo disfrutar de una buena ducha.",Negativos
"La comida del restaurante, cuando pedimos carnes, están llegaban muy asadas (secas) y con porciones muy pequeñas. LA respuesta a la petición por esto no fue muy acertada, se veía el afán del personal del restaurante porque uno se comiera las cosas así, creo que ante estas situaciones hay que ser más abierto y aceptar el error. Para el chef calificación de 2 sobre 5.",Negativos
"El aseo en la habitacion, la lenceria no era limpia, y el retrete estaba sucio",Negativos
La habitación: el diseño con el lavamanos integrado a la habitación. Y tampoco es práctico tener la ducha separada del sanitario,Negativos
"Compromete mi Seguridad, No hay taxis para traslado en la madrugada, para ir al aeropuerto, la Habitacion sin aire y hace calor, habitacion super pequeña",Negativos
"Algunos recepcionistas no fueron del todo amable, solo uno fue muy atento ☺️",Negativos
"La noche anterior al check out pregunté por servicio de taxi al aeropuerto, me dijeron que al día siguiente (5:00 am) le podía comentar a la persona que estuviera en recepción, llegado el momento me dicen que no prestan este servicio y que contactan a un conocido de su confianza, es así como me recoge en el hotel un taxi que no quizo poner en funcionamiento el taxímetro sino que me cobró la supuesta tarifa que tiene el Hotel, $35.000, cuando este servicio desde ese punto hasta el aeropuerto cuesta al rededor de $25.000.",Negativos
La tarifa de la habitación no incluía desayuno y además no era reembolsable,Negativos
Nunca fueron capaces de entregarme mi factura de pago lo cual me afectó mucho porque no pude legalizar ese viatico.,Negativos
"La relación costo y calidad no es la mejor. Al llegar nadie nos ayudó con las maletas, al hacer check in nadie nos ayudó a subir las maletas. El restaurante es pésimo y costoso para la calidad de los platos, salvo el desayuno que es más o menos bueno.",Negativos
In the morning of my second and final day I wanted to shower and this is how the story ends. No hot water came out even after running it for 5 min as recommended by Front Desk it didn't work.,Negativos
"El personal no muy cordial, Les falta calides y educacion en el momento de la recepcion. El transporte al Aeropuerto malo, por poco nos deja el avion porque le conductor no nos llevo al puente Aereo, nos dejo tirados en el dorado.",Negativos
"la peor experiencia en un hotel, nos iban a sacar las maletas dd la habitación a la fuerza, alquilaron supuestamente la habitación a otras personas estando nosotros hospedados allí, piensan que se van a ir sin pagar, varios huespedes les paso en el mismo dia reclamando en recepción porque los llamaron que tenian que desocupar ya mismo, que iban a sacar las maletas, todo lo sucedido fue con la muchacha de recepción, por el contrario el señor qye hacia el otro turno es muy amable y resulto regañado por no haber cobrado por obligacion de manera delantada las 4 noches, sin saber cuando llegamos si nos ibamos a hospedar todas estas noches. el problema fue con varios huespedes.
la habitacion tenia una gotera que caía al inodoro, intentaron arreglar pero no lo hicieron, las tohallas no tienen suficientes y habia que esperar a que las secaran.",Negativos
"No hicieron en tres días la habitación por qué si no avisas en recepción ellos no la hacen un asco no te dan nada de aseo luego de ingresas las mismas sábanas y la mismas toallas , luces de habitación la mitad son funcionar.

Lo peor de todo es el desayuno tipo Hostel caro re caro primer día horror, el resto al estelar de la 93 excelente 40 mil pesos y eso es una fiesta.

Cuando me quejo de la habitación llamaron a la gerente y para callarme en recepción me dieron 2 jabones y un kit dental una toalla y todas sucias sin recogerlas en habitación y que la recepcionista dejara al de seguridad y ella misma me hiciera la cama y un poco de aseo yo no lo permito y lo hice yo.


Almohadas viejas, sin aseo y full incómodas relleno vencido",Negativos
"El aseo con oportunidades de mejora, había pelos de mujer de la cama y baño.
Las instalaciones requieren renovación, se veía viejas o deterioradas.",Negativos
"hicimos con antelación una solicitud por correo para hacer checkin dos horas antes la cual fue aprobada pero al llegar al hotel dijeron que no era permitido, aunado a esto hubo mucho ruido música a volumen muy alto, incluso personas teniendo sexo en la habitación contigua después de las 12am lo cual despertó a mis niños y me tocó ponerles muñecos en el tv para amortiguar el ruido; pues la señorita de recepción no dio ninguna solución, no fue una estadía agradable con niños",Negativos
desayuno muy limitado y no muy buen servicio. se ha ido el agua. el parqueadero muy pequeño.,Negativos
NO HABIA JABON DE LAVAR MANOS. 2 TOALLAS PEQUEÑAS MUY DESGASTADAS. PAPEL HIGIENICO EMPEZADO. MUCHO RUIDO. EL DESAYUNO PESIMO. LA CAMA NO ERA CONFORTABLE.,Negativos
"El desayuno es tipo buffet pero desde mi punto de vista no es nada bueno. El día que nos quedamos había un evento y por lo tanto muchas personas, los espacios entre mesas eran muy reducido, las personas no podían moverse con comodidad para sus mesas. Además, era evidente que no cumplían el criterio de seguridad.",Negativos
"Cuando hice la reserva aparecía un aviso de promoción en 153.000 y al momento de pagar cobraron 256.000 y hoy pedimos que nos dejaran salir a las 2:00 pm sin recargo por un imprevisto, salimos a las 3:00 pm y tener que pagar 45.000 de más.",Negativos
"Habitaciones húmedas, oscuras, agua fría, camas con pocas tablas y sonaban mucho",Negativos
"La altivez de los empleados, las normas Sico rígidas que tenían, no podíamos pedir bebidas y pedir algo de afuera ya q nos sacaban del restaurante, no había un lugar donde pudiéramos reunirnos en grupo y tener un momento de ocio sin q nos dijeran q no podíamos hacer ruido. Casi q nos cobraron 3 servilletas.",Negativos
"Q no tiene servicio a la habitación, y tampoco tiene nevera en la habitación",Negativos
"El resto es de calidad medio baja. La ducha es de estas esquizofrenicas que no mantiene la temperatura (varia solo de muy caliente a muy frio, es incomodo). No es un hotel que tenga habitaciones superiores. Tenia un ascenso de categoría y me metieron en una habitación horrible por que podía sacar no se de donde una segunda cama individual. Es mejor ser honesto y decir .. mira, este hotel no es de los que tengan varias categorías, tenemos una ... muy estandar. y ya está.
Es un hotel que ultimamente es ruidoso. La zona es de bares. En el primer piso hay un bar. No hace mucho unos ciudadanos del norte del país tenían montada una fiesta de lo más ruidosa ante la cara de incapacidad de los empleados del hotel. Normal que después se trasladaran a un cuarto a seguir la fiesta, que tan de malas era el que tenía al frente, y obvio me despertaron. Creo que desde el hotel no hicieron nada a pesar de mis llamadas.",Negativos
"Es una construcción antigua, a pesar de que habia pagado con anterioridad, fueron muy insistentes en la hora de llegada, siento que se corrió el riesgo de perder la reservación aunque ya se habia pagado con anterioridad. La limpieza puede mejorar",Negativos
"Reservé una habitación con hamaca, y no me dieron esa habitación. Por su estilo en las fotos se veia super moderno la tematica que manejaban pero nada que ver.",Negativos
